workerid,proliferate.condition,base_image,category,edit_type,level,novel_word,perturbed_image,rating,response_time_ms,stimulus_id,error
205,Group 8,,,,,,,,,,
205,Group 8,,,,,,,,1700,,
205,Group 8,,,,,,,,3432,,
205,Group 8,,,,,,,7,4749,,
205,Group 8,,,,,,,1,3344,,
205,Group 8,,,,,,,6,3851,,
205,Group 8,,,,,,,,8979,,
205,Group 8,,,,,,,5,1264,,
205,Group 8,,,,,,,,1864,,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/golden-retriever.png,known,color,20,froatne,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/color/golden-retriever_20.png,5,3537,golden-retriever,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/crystal_telescope.png,modified/shape-shape,style,8,drublit,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/style/crystal_telescope_8.png,5,2241,crystal_telescope,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/checkerboard_tiger.png,modified/shape-texture,add,14,clentrel,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/add/checkerboard_tiger_14.png,5,1764,checkerboard_tiger,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/corkscrew.png,known,add,17,vorthling,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/add/corkscrew_17.png,1,2234,corkscrew,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/checkerboard_tiger.png,modified/shape-texture,color,14,clentrel,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/color/checkerboard_tiger_14.png,5,1492,checkerboard_tiger,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/crystal_telescope.png,modified/shape-shape,background,20,drublit,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/background/crystal_telescope_20.png,7,3604,crystal_telescope,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/drone_dagger.png,modified/shape-shape,color,8,zornett,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/color/drone_dagger_8.png,5,2643,drone_dagger,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/drone_dagger.png,modified/shape-shape,style,17,zornett,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/style/drone_dagger_17.png,4,2648,drone_dagger,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/dolphin.png,known,shape,8,thrimple,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/shape/dolphin_8.png,7,1799,dolphin,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/rabbit.png,known,style,5,wrivlet,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/style/rabbit_5.png,5,1397,rabbit,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/novel/shape_13.png,novel,style,5,wrimble,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/novel/style/shape_13_5.png,5,1498,shape_13,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/novel/shape_24.png,novel,background,17,vraxel,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/novel/background/shape_24_17.png,5,1031,shape_24,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/novel/shape_19.png,novel,remove,20,frentish,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/novel/remove/shape_19_20.png,1,1799,shape_19,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/golden-retriever.png,,,,toma,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/corkscrew.png,1,1383,attention_check_1,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/bonsai_crystal.png,modified/shape-shape,background,8,cravish,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/background/bonsai_crystal_8.png,1,1197,bonsai_crystal,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/crystal_telescope.png,modified/shape-shape,shape,8,drublit,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-shape/shape/crystal_telescope_8.png,1,1200,crystal_telescope,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/dolphin.png,known,add,14,thrimple,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/add/dolphin_14.png,7,1364,dolphin,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/golden-retriever.png,known,add,2,froatne,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/add/golden-retriever_2.png,1,2065,golden-retriever,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/checkerboard_tiger.png,modified/shape-texture,background,19,clentrel,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/background/checkerboard_tiger_19.png,1,1332,checkerboard_tiger,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/checkerboard_tiger.png,modified/shape-texture,background,20,clentrel,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/background/checkerboard_tiger_20.png,1,2381,checkerboard_tiger,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/corkscrew.png,known,color,5,vorthling,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/color/corkscrew_5.png,5,1549,corkscrew,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/horse.png,known,texture,11,skelwick,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/known/texture/horse_11.png,3,5546,horse,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/bird-feathers_saxophone.png,modified/shape-texture,shape,5,plonwick,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/shape/bird-feathers_saxophone_5.png,1,1530,bird-feathers_saxophone,
205,Group 8,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/checkerboard_tiger.png,modified/shape-texture,add,17,clentrel,https://raw.githubusercontent.com/adadtur/nvrd-sample/master/modified-shape-texture/add/checkerboard_tiger_17.png,1,1700,checkerboard_tiger,
